id,product_id:id,order_id:id,product_qty,price_unit,delivery_charge,date_planned,name
rfq_line_1,product.product_product_5,rfq_1,5,147,200,2025-01-07,Corner Desk Right Sit
rfq_line_2,product.product_product_6,rfq_1,3,320,300,2025-01-07,Large Cabinet
rfq_line_3,product.product_product_7,rfq_1,10,15.8,50,2025-01-07,Storage Box
rfq_line_4,product.product_product_5,rfq_2,5,145,170,2025-01-06,Corner Desk Right Sit
rfq_line_5,product.product_product_6,rfq_2,3,310,250,2025-01-06,Large Cabinet
rfq_line_6,product.product_product_7,rfq_2,10,15.5,40,2025-01-06,Storage Box
rfq_line_7,product.product_product_5,rfq_3,5,150,180,2025-01-05,Corner Desk Right Sit
rfq_line_8,product.product_product_6,rfq_3,3,330,280,2025-01-05,Large Cabinet
rfq_line_9,product.product_product_7,rfq_3,10,15.6,60,2025-01-05,Storage Box
rfq_line_10,product.product_product_8,rfq_4,2,1200,100,2025-01-10,Large Desk
rfq_line_11,product.product_product_9,rfq_4,15,100,50,2025-01-10,Pedal Bin
rfq_line_12,product.product_product_8,rfq_5,2,1100,90,2025-01-09,Large Desk
rfq_line_13,product.product_product_9,rfq_5,15,90,40,2025-01-09,Pedal Bin
